run_id,edge_source,edge_target,traverse_count
1,a1,t1,1018
1,a10,t10,2160
1,a11,t11,2254
1,a12,t12,2230
1,a13,t13,1516
1,a14,t14,1263
1,a15,t15,1072
1,a16,t16,1076
1,a17,t17,655
1,a18,t18,700
1,a19,t19,1092
1,a2,t2,983
1,a20,t20,1025
1,a3,t3,1327
1,a4,t4,1254
1,a5,t5,1583
1,a6,t6,1811
1,a7,t7,1350
1,a8,t8,1331
1,a9,t9,2150
1,j1,s1,2715
1,j10,m10,5521
1,j11,s11,5192
1,j12,j13,1601
1,j12,m12,1409
1,j13,s13,3289
1,j14,j15,2235
1,j14,m14,1050
1,j15,s15,4414
1,j16,j17,2618
1,j16,m16,1796
1,j17,s17,2820
1,j18,j19,1755
1,j18,m18,1063
1,j19,s19,2316
1,j2,j3,2280
1,j2,m2,435
1,j20,m20,2310
1,j3,s3,4088
1,j4,j5,1699
1,j4,m4,1152
1,j5,s5,4319
1,j6,j7,2942
1,j6,m6,1369
1,j7,s7,4087
1,j8,j9,1942
1,j8,m8,2144
1,j9,s9,5528
1,m1,j1,2678
1,m10,m11,3431
1,m10,n10,2090
1,m11,j11,5192
1,m12,n12,3438
1,m13,j13,1687
1,m13,m12,2028
1,m14,n14,4019
1,m15,j15,324
1,m15,m14,2969
1,m16,n16,4854
1,m17,j17,202
1,m17,m16,3058
1,m18,n18,2345
1,m19,j19,561
1,m19,m18,1282
1,m2,n2,2211
1,m20,m1,1381
1,m20,n20,929
1,m3,j3,1808
1,m3,m2,1776
1,m4,n4,4499
1,m5,j5,2619
1,m5,m4,1941
1,m6,n6,5039
1,m7,j7,1144
1,m7,m6,3669
1,m8,n8,4510
1,m9,j9,1263
1,m9,m8,2365
1,n1,m1,1297
1,n10,n9,1212
1,n11,m11,1761
1,n12,n11,1021
1,n12,n9,2416
1,n13,m13,3716
1,n14,n13,3213
1,n14,n7,806
1,n15,m15,3293
1,n16,n15,2706
1,n16,n5,108
1,n17,m17,3260
1,n18,n17,2298
1,n18,n3,47
1,n19,m19,1843
1,n2,n1,1297
1,n2,n19,914
1,n20,n19,929
1,n3,m3,3584
1,n4,n17,962
1,n4,n3,3537
1,n5,m5,4561
1,n6,n15,586
1,n6,n5,4452
1,n7,m7,4814
1,n8,n13,502
1,n8,n7,4007
1,n9,m9,3629
1,s1,a1,1018
1,s1,t1,1697
1,s10,a10,2163
1,s10,t10,3361
1,s11,a11,2254
1,s11,t11,2938
1,s12,a12,2230
1,s12,t12,2962
1,s13,a13,1516
1,s13,t13,1772
1,s14,a14,1265
1,s14,t14,2023
1,s15,a15,1072
1,s15,t15,3342
1,s16,a16,1076
1,s16,t16,3338
1,s17,a17,656
1,s17,t17,2164
1,s18,a18,701
1,s18,t18,2118
1,s19,a19,1095
1,s19,t19,1220
1,s2,a2,983
1,s2,t2,1732
1,s20,a20,1027
1,s20,t20,1285
1,s3,a3,1330
1,s3,t3,2756
