run_id,node,touch_count
1,a1,4540
1,a10,9820
1,a11,10305
1,a12,10216
1,a13,11996
1,a14,9915
1,a15,4772
1,a16,4761
1,a17,2862
1,a18,3065
1,a19,4845
1,a2,4413
1,a20,4565
1,a3,5990
1,a4,5641
1,a5,12574
1,a6,14566
1,a7,10646
1,a8,10473
1,a9,9730
1,j1,8071
1,j10,16563
1,j11,15576
1,j12,15576
1,j13,14018
1,j14,14018
1,j15,13242
1,j16,13242
1,j17,8460
1,j18,8454
1,j19,6948
1,j2,8145
1,j20,6930
1,j3,12264
1,j4,12249
1,j5,14018
1,j6,14018
1,j7,14018
1,j8,14018
1,j9,16584
1,m1,8034
1,m10,16563
1,m11,15576
1,m12,14018
1,m13,14018
1,m14,14018
1,m15,14018
1,m16,14562
1,m17,9780
1,m18,7035
1,m19,5529
1,m2,6633
1,m20,6930
1,m3,10752
1,m4,13497
1,m5,14018
1,m6,14018
1,m7,14018
1,m8,14018
1,m9,14018
1,n1,3891
1,n10,6270
1,n11,5283
1,n12,14018
1,n13,14018
1,n14,14018
1,n15,14018
1,n16,14562
1,n17,9780
1,n18,7035
1,n19,5529
1,n2,6633
1,n20,2787
1,n3,10752
1,n4,13497
1,n5,14018
1,n6,14018
1,n7,14018
1,n8,14018
1,n9,14018
1,s1,8145
1,s10,16575
1,s11,15576
1,s12,15576
1,s13,14018
1,s14,14018
1,s15,13242
1,s16,13242
1,s17,8460
1,s18,8457
1,s19,6947
1,s2,8145
1,s20,6936
1,s3,12261
1,s4,12249
1,s5,14018
1,s6,14018
1,s7,14018
1,s8,14018
1,s9,16584
1,t1,8145
1,t10,16563
1,t11,15576
1,t12,15576
1,t13,14018
1,t14,14018
1,t15,13242
1,t16,13242
1,t17,8457
1,t18,8454
1,t19,6936
1,t2,8145
1,t20,6930
1,t3,12249
1,t4,12249
1,t5,14018
1,t6,14018
1,t7,14018
1,t8,14018
1,t9,16580
2,a1,4709
2,a10,9473
2,a11,9904
2,a12,9910
2,a13,11918
2,a14,9615
2,a15,4521
2,a16,4747
2,a17,2630
2,a18,3030
2,a19,4843
2,a2,4323
2,a20,4515
2,a3,5654
2,a4,5438
2,a5,12930
2,a6,14626
2,a7,10373
2,a8,10125
2,a9,9452
2,j1,9271
2,j10,16245
2,j11,15021
2,j12,15003
2,j13,12104
2,j14,12104
2,j15,13194
2,j16,13188
2,j17,8448
2,j18,8439
2,j19,6972
2,j2,9345
2,j20,6960
2,j3,13449
2,j4,13434
2,j5,14524
2,j6,14524
2,j7,13518
2,j8,13516
2,j9,16251
2,m1,9234
2,m10,16245
2,m11,15026
2,m12,12104
2,m13,12104
2,m14,12104
2,m15,12104
2,m16,11205
2,m17,6465
2,m18,5790
2,m19,4323
2,m2,6597
2,m20,6960
2,m3,10701
2,m4,11376
2,m5,13617
2,m6,12104
2,m7,12104
2,m8,13558
2,m9,12104
2,n1,3870
2,n10,6402
2,n11,5184
2,n12,12104
2,n13,12104
2,n14,12104
2,n15,12104
2,n16,11205
2,n17,6465
2,n18,5790
2,n19,4323
2,n2,6597
2,n20,1596
2,n3,10701
2,n4,11376
2,n5,13617
2,n6,12104
2,n7,12104
2,n8,13558
2,n9,12104
2,s1,9345
2,s10,16248
2,s11,15015
2,s12,15003
2,s13,12104
2,s14,12104
2,s15,13194
2,s16,13194
2,s17,8448
2,s18,8439
2,s19,6972
2,s2,9345
2,s20,6971
2,s3,13449
2,s4,13443
2,s5,14524
2,s6,14524
2,s7,13518
2,s8,13516
2,s9,16251
2,t1,9345
2,t10,16245
2,t11,15003
2,t12,15003
2,t13,12104
2,t14,12104
2,t15,13194
2,t16,13188
2,t17,8439
2,t18,8439
2,t19,6972
2,t2,9345
2,t20,6960
2,t3,13443
2,t4,13434
2,t5,14524
2,t6,14524
2,t7,13516
2,t8,13516
2,t9,16248
3,a1,4705
3,a10,9574
3,a11,9978
3,a12,10232
3,a13,12459
3,a14,9764
3,a15,4580
3,a16,4684
3,a17,2698
3,a18,3005
3,a19,4728
3,a2,4502
3,a20,4626
3,a3,5819
3,a4,5533
3,a5,12957
3,a6,14273
3,a7,10286
3,a8,10134
3,a9,9558
3,j1,9412
3,j10,16356
3,j11,15456
3,j12,15456
3,j13,12845
3,j14,12845
3,j15,13926
3,j16,13926
3,j17,8445
3,j18,8445
3,j19,6990
3,j2,9486
3,j20,6990
3,j3,13308
3,j4,13278
3,j5,12929
3,j6,12912
3,j7,12845
3,j8,12845
3,j9,16359
3,m1,9375
3,m10,16356
3,m11,15456
3,m12,12845
3,m13,12845
3,m14,12845
3,m15,12845
3,m16,13743
3,m17,8262
3,m18,5643
3,m19,4188
3,m2,6573
3,m20,6990
3,m3,10395
3,m4,13014
3,m5,12845
3,m6,12845
3,m7,12845
3,m8,12845
3,m9,12845
3,n1,3972
3,n10,6168
3,n11,5268
3,n12,12845
3,n13,12845
3,n14,12845
3,n15,12845
3,n16,13743
3,n17,8262
3,n18,5643
3,n19,4188
3,n2,6573
3,n20,1587
3,n3,10395
3,n4,13014
3,n5,12845
3,n6,12845
3,n7,12845
3,n8,12845
3,n9,12845
3,s1,9486
3,s10,16359
3,s11,15456
3,s12,15456
3,s13,12845
3,s14,12845
3,s15,13926
3,s16,13926
3,s17,8445
3,s18,8445
3,s19,6990
3,s2,9486
3,s20,6990
3,s3,13308
3,s4,13296
3,s5,12925
3,s6,12918
3,s7,12845
3,s8,12845
3,s9,16359
3,t1,9486
3,t10,16356
3,t11,15456
3,t12,15456
3,t13,12845
3,t14,12845
3,t15,13926
3,t16,13926
3,t17,8445
3,t18,8445
3,t19,6990
3,t2,9486
3,t20,6990
3,t3,13303
3,t4,13286
3,t5,12921
3,t6,12912
3,t7,12845
3,t8,12845
3,t9,16359
4,a1,4267
4,a10,8966
4,a11,9999
4,a12,10174
4,a13,11939
4,a14,9560
4,a15,4613
4,a16,4431
4,a17,2632
4,a18,2840
4,a19,4512
4,a2,4457
4,a20,4694
4,a3,5511
4,a4,5005
4,a5,12669
4,a6,14580
4,a7,10061
4,a8,10128
4,a9,9322
4,j1,8068
4,j10,15312
4,j11,15255
4,j12,15237
4,j13,13122
4,j14,13122
4,j15,12909
4,j16,12900
4,j17,8250
4,j18,8247
4,j19,6687
4,j2,8139
4,j20,6678
4,j3,11070
4,j4,11064
4,j5,13122
4,j6,13122
4,j7,13122
4,j8,13122
4,j9,15318
4,m1,8031
4,m10,15312
4,m11,15262
4,m12,13122
4,m13,13122
4,m14,13782
4,m15,13122
4,m16,15027
4,m17,10377
4,m18,7656
4,m19,6096
4,m2,7449
4,m20,6678
4,m3,10380
4,m4,13101
4,m5,13122
4,m6,13162
4,m7,13122
4,m8,13122
4,m9,13122
4,n1,4065
4,n10,6105
4,n11,6060
4,n12,13122
4,n13,13122
4,n14,13782
4,n15,13122
4,n16,15027
4,n17,10377
4,n18,7656
4,n19,6096
4,n2,7449
4,n20,2712
4,n3,10380
4,n4,13101
4,n5,13122
4,n6,13162
4,n7,13122
4,n8,13122
4,n9,13122
4,s1,8142
4,s10,15318
4,s11,15249
4,s12,15237
4,s13,13122
4,s14,13122
4,s15,12909
4,s16,12903
4,s17,8250
4,s18,8247
4,s19,6687
4,s2,8139
4,s20,6681
4,s3,11070
4,s4,11067
4,s5,13122
4,s6,13122
4,s7,13122
4,s8,13122
4,s9,15318
4,t1,8139
4,t10,15312
4,t11,15237
4,t12,15237
4,t13,13122
4,t14,13122
4,t15,12903
4,t16,12900
4,t17,8247
4,t18,8247
4,t19,6681
4,t2,8139
4,t20,6678
4,t3,11067
4,t4,11064
4,t5,13122
4,t6,13122
4,t7,13122
4,t8,13122
4,t9,15318
5,a1,4640
5,a10,9521
5,a11,10330
5,a12,10376
5,a13,11972
5,a14,9698
5,a15,4766
5,a16,4888
