run_id,edge_index,source_node,target_node,weight
1,0,j1,s1,7.500
1,1,s1,t1,11.500
1,2,s1,a1,11.500
1,3,a1,t1,7.000
1,4,t1,s2,4.000
1,5,s2,t2,7.000
1,6,s2,a2,7.000
1,7,a2,t2,7.000
1,8,t2,j2,3.000
1,9,j2,j3,3.000
1,10,j2,m2,4.000
1,11,j3,s3,3.000
1,12,s3,t3,7.000
1,13,s3,a3,7.000
1,14,a3,t3,7.000
1,15,t3,s4,4.000
1,16,s4,t4,7.000
1,17,s4,a4,7.000
1,18,a4,t4,7.000
1,19,t4,j4,3.000
1,20,j4,j5,2.340
1,21,j4,m4,4.000
1,22,j5,s5,2.040
1,23,s5,t5,4.760
1,24,s5,a5,5.460
1,25,a5,t5,5.460
1,26,t5,s6,2.720
1,27,s6,t6,4.760
1,28,s6,a6,5.460
1,29,a6,t6,5.460
1,30,t6,j6,2.040
1,31,j6,j7,2.040
1,32,j6,m6,2.720
1,33,j7,s7,2.040
1,34,s7,t7,4.760
1,35,s7,a7,5.460
1,36,a7,t7,5.460
1,37,t7,s8,2.720
1,38,s8,t8,4.760
1,39,s8,a8,5.460
1,40,a8,t8,5.460
1,41,t8,j8,2.040
1,42,j8,j9,2.340
1,43,j8,m8,2.720
1,44,j9,s9,3.000
1,45,s9,t9,7.000
1,46,s9,a9,7.000
1,47,a9,t9,7.000
1,48,t9,s10,4.000
1,49,s10,t10,7.000
1,50,s10,a10,7.000
1,51,a10,t10,7.000
1,52,t10,j10,3.000
1,53,j10,m10,4.000
1,54,m10,n10,8.000
1,55,n10,n9,4.680
1,56,n9,m9,5.440
1,57,m9,m8,2.040
1,58,m9,j9,3.120
1,59,m8,n8,5.440
1,60,n8,n7,4.080
1,61,n7,m7,5.440
1,62,m7,m6,2.040
1,63,m7,j7,2.720
1,64,m6,n6,5.440
1,65,n6,n5,4.080
1,66,n5,m5,5.440
1,67,m5,m4,2.340
1,68,m5,j5,2.720
1,69,m4,n4,8.000
1,70,n4,n3,6.000
1,71,n3,m3,8.000
1,72,m3,m2,3.000
1,73,m3,j3,4.000
1,74,m2,n2,8.000
1,75,n2,n1,6.000
1,76,n1,m1,8.000
1,77,m1,j1,4.000
1,78,j11,s11,3.000
1,79,s11,t11,7.000
1,80,s11,a11,7.000
1,81,a11,t11,7.000
1,82,t11,s12,4.000
1,83,s12,t12,7.000
1,84,s12,a12,7.000
1,85,a12,t12,7.000
1,86,t12,j12,3.000
1,87,j12,j13,2.340
1,88,j12,m12,3.120
1,89,j13,s13,2.040
1,90,s13,t13,4.760
1,91,s13,a13,5.460
1,92,a13,t13,5.460
1,93,t13,s14,2.720
1,94,s14,t14,4.760
1,95,s14,a14,5.460
1,96,a14,t14,5.460
1,97,t14,j14,2.040
1,98,j14,j15,2.340
1,99,j14,m14,2.720
1,100,j15,s15,3.000
1,101,s15,t15,7.000
1,102,s15,a15,7.000
1,103,a15,t15,7.000
1,104,t15,s16,4.000
1,105,s16,t16,7.000
1,106,s16,a16,7.000
1,107,a16,t16,7.000
1,108,t16,j16,3.000
1,109,j16,j17,3.000
1,110,j16,m16,4.000
1,111,j17,s17,3.000
1,112,s17,t17,7.000
1,113,s17,a17,7.000
1,114,a17,t17,7.000
1,115,t17,s18,4.000
1,116,s18,t18,7.000
1,117,s18,a18,7.000
1,118,a18,t18,7.000
1,119,t18,j18,4.000
1,120,j18,j19,4.000
1,121,j18,m18,5.000
1,122,j19,s19,3.000
1,123,s19,t19,7.000
1,124,s19,a19,7.000
1,125,a19,t19,7.000
1,126,t19,s20,4.000
1,127,s20,t20,7.000
1,128,s20,a20,7.000
1,129,a20,t20,7.000
1,130,t20,j20,3.000
1,131,j20,m20,4.000
1,132,m20,n20,8.000
1,133,n20,n19,6.000
1,134,n19,m19,8.000
1,135,m19,m18,3.000
1,136,m19,j19,4.000
1,137,m18,n18,8.000
1,138,n18,n17,6.000
1,139,n17,m17,8.000
1,140,m17,m16,3.000
1,141,m17,j17,4.000
1,142,m16,n16,8.000
1,143,n16,n15,4.680
1,144,n15,m15,5.440
1,145,m15,m14,2.040
1,146,m15,j15,3.120
1,147,m14,n14,5.440
1,148,n14,n13,4.080
1,149,n13,m13,5.440
1,150,m13,m12,2.040
1,151,m13,j13,2.720
1,152,m12,n12,5.440
1,153,n12,n11,4.680
1,154,n11,m11,8.000
1,155,m11,j11,4.000
1,156,m20,m1,5.000
1,157,n20,n1,5.000
1,158,n2,n19,5.000
1,159,n18,n3,5.000
1,160,n4,n17,5.000
1,161,n16,n5,3.900
1,162,n6,n15,3.400
1,163,n14,n7,3.400
1,164,n8,n13,3.400
1,165,n12,n9,3.400
1,166,n10,n11,5.000
1,167,m10,m11,5.000
2,0,j1,s1,3.000
2,1,s1,t1,7.000
2,2,s1,a1,7.000
